source,city,country,species,common_name,latitude,longitude,date,observer,photo_url,quality,record_url
iNaturalist,Nairobi,Kenya,Dasypeltis scabra,Egg-eating Snake,-1.4882782349,37.1214492247,2024-12-13,kalie9,https://static.inaturalist.org/photos/460151201/medium.jpeg,needs_id,https://www.inaturalist.org/observations/256619004
iNaturalist,Nairobi,Kenya,Aparallactus capensis,Cape Centipede-Eater,-1.3601507948,36.7784427009,2024-12-26,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/459417246/medium.jpeg,needs_id,https://www.inaturalist.org/observations/256259837
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2367429722,36.8202514444,2024-12-21,rfoquet,https://inaturalist-open-data.s3.amazonaws.com/photos/458610105/medium.jpeg,needs_id,https://www.inaturalist.org/observations/255857930
iNaturalist,Nairobi,Kenya,Leptotyphlops,Leptotyphlops,-1.2323127093,36.826759511,2020-01-20,kindjay,https://inaturalist-open-data.s3.amazonaws.com/photos/456450541/medium.jpeg,needs_id,https://www.inaturalist.org/observations/254786781
iNaturalist,Nairobi,Kenya,Philothamnus battersbyi,Battersby's Green Snake,-1.3824923,36.86102,2023-10-12,njiruernest,https://inaturalist-open-data.s3.amazonaws.com/photos/456287497/medium.jpeg,research,https://www.inaturalist.org/observations/254705993
iNaturalist,Nairobi,Kenya,Python natalensis,Southern African Python,-1.2969003245,36.8484132656,2023-02-14,njiruernest,https://inaturalist-open-data.s3.amazonaws.com/photos/456109949/medium.jpeg,research,https://www.inaturalist.org/observations/254620161
iNaturalist,Nairobi,Kenya,Philothamnus battersbyi,Battersby's Green Snake,-1.3391804487,36.8103066087,2024-08-10,adrianhinkle,https://inaturalist-open-data.s3.amazonaws.com/photos/454962377/medium.jpeg,research,https://www.inaturalist.org/observations/254045385
iNaturalist,Nairobi,Kenya,Crotaphopeltis hotamboeia,Red-lipped Snake,-1.2351393597,36.8209060282,2024-11-22,paolamm,https://inaturalist-open-data.s3.amazonaws.com/photos/452244748/medium.jpeg,research,https://www.inaturalist.org/observations/252615872
iNaturalist,Nairobi,Kenya,Dasypeltis,Egg-eating Snakes,-1.2904015672,36.8196517602,2024-11-22,paolamm,https://inaturalist-open-data.s3.amazonaws.com/photos/452242650/medium.jpeg,casual,https://www.inaturalist.org/observations/252614647
iNaturalist,Nairobi,Kenya,Naja nigricollis,Black-necked Spitting Cobra,-0.8886630749,36.3161800647,2014-02-01,neomapas,https://inaturalist-open-data.s3.amazonaws.com/photos/451235066/medium.jpeg,research,https://www.inaturalist.org/observations/252107956
iNaturalist,Nairobi,Kenya,Philothamnus battersbyi,Battersby's Green Snake,-1.1482475531,36.9604533166,2024-10-22,washingtonwachira,https://inaturalist-open-data.s3.amazonaws.com/photos/444272128/medium.jpeg,research,https://www.inaturalist.org/observations/248621886
iNaturalist,Nairobi,Kenya,Boaedon fuliginosus,Brown House Snake,-1.0291981387,36.8229002857,2024-10-09,lee-anner,https://inaturalist-open-data.s3.amazonaws.com/photos/442430378/medium.jpeg,research,https://www.inaturalist.org/observations/247690771
iNaturalist,Nairobi,Kenya,Philothamnus,Philothamnus,-1.3303493255,36.8601769209,2024-10-08,bakari,https://static.inaturalist.org/photos/439675882/medium.jpeg,needs_id,https://www.inaturalist.org/observations/246301080
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2803302228,36.777457755,2020-12-09,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/438203646/medium.jpeg,research,https://www.inaturalist.org/observations/245553808
iNaturalist,Nairobi,Kenya,Dendroaspis polylepis,Black Mamba,-1.2745471667,36.8146972222,2024-07-29,hawk470,https://inaturalist-open-data.s3.amazonaws.com/photos/436608729/medium.jpeg,casual,https://www.inaturalist.org/observations/244741970
iNaturalist,Nairobi,Kenya,Python sebae,African Rock Python,-1.5449733865,36.9941729612,2024-09-22,kibs,https://inaturalist-open-data.s3.amazonaws.com/photos/436048847/medium.jpeg,needs_id,https://www.inaturalist.org/observations/244453634
iNaturalist,Nairobi,Kenya,Python regius,Ball Python,-1.2722395082,36.8149230257,,latifa672,https://static.inaturalist.org/photos/434696770/medium.jpeg,casual,https://www.inaturalist.org/observations/243753602
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.5373137032,36.91068981,2024-09-22,ngele,https://inaturalist-open-data.s3.amazonaws.com/photos/434530833/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243670387
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.4371351227,36.9322532415,2024-09-22,levin29021,https://static.inaturalist.org/photos/434342301/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243570869
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.4157073497,36.8969726561,2024-09-22,ignatius_,https://static.inaturalist.org/photos/434300588/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243549063
iNaturalist,Nairobi,Kenya,Bitis arietans,Puff Adder,-1.4371351227,36.9322532415,2024-09-22,luminous_lucy42,https://inaturalist-open-data.s3.amazonaws.com/photos/434075917/medium.jpeg,research,https://www.inaturalist.org/observations/243434568
iNaturalist,Nairobi,Kenya,Dasypeltis scabra,Egg-eating Snake,-1.4165807795,36.8959787115,2024-09-22,wangui_lesilele,https://static.inaturalist.org/photos/434030651/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243410987
iNaturalist,Nairobi,Kenya,Naja,Cobras,-1.4371351227,36.9322532415,,everlyne,https://static.inaturalist.org/photos/434026451/medium.jpeg,casual,https://www.inaturalist.org/observations/243408725
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.4117383333,36.9083316667,2024-09-22,figmentofnature,https://inaturalist-open-data.s3.amazonaws.com/photos/434015270/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243402376
iNaturalist,Nairobi,Kenya,Naja,Cobras,-1.4162816667,36.895815,2024-09-22,vratego,https://inaturalist-open-data.s3.amazonaws.com/photos/434004604/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243396457
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.4146766667,36.8905033333,2024-09-22,roselyne99464,https://static.inaturalist.org/photos/433979439/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243382790
iNaturalist,Nairobi,Kenya,Naja nigricollis,Black-necked Spitting Cobra,-1.41672,36.896085,2024-09-22,roselyne99464,https://static.inaturalist.org/photos/433979349/medium.jpeg,research,https://www.inaturalist.org/observations/243382745
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.41184034,36.90824213,2024-09-22,faith46168,https://static.inaturalist.org/photos/433846704/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243309689
iNaturalist,Nairobi,Kenya,Naja nigricollis,Black-necked Spitting Cobra,-1.4165983333,36.89598,2024-09-22,hillary73058,https://static.inaturalist.org/photos/433839080/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243305337
iNaturalist,Nairobi,Kenya,Dendroaspis angusticeps,Eastern Green Mamba,-1.2746592687,36.814772822,2024-09-21,zaccues,https://static.inaturalist.org/photos/433745894/medium.jpeg,casual,https://www.inaturalist.org/observations/243257455
iNaturalist,Nairobi,Kenya,Bitis arietans,Puff Adder,-1.2747933333,36.814625,2024-09-21,geofry,https://static.inaturalist.org/photos/433744962/medium.jpeg,casual,https://www.inaturalist.org/observations/243256881
iNaturalist,Nairobi,Kenya,Rhamphiophis rubropunctatus,Red-spotted Beaked Snake,-1.2746592687,36.814772822,2024-09-21,zaccues,https://static.inaturalist.org/photos/433543519/medium.jpeg,casual,https://www.inaturalist.org/observations/243154614
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.2746592687,36.814772822,2024-09-21,zaccues,https://static.inaturalist.org/photos/433534134/medium.jpeg,needs_id,https://www.inaturalist.org/observations/243149771
iNaturalist,Nairobi,Kenya,Psammophis punctulatus,Speckled Sand Racer,-1.2746592687,36.814772822,2024-09-21,zaccues,https://static.inaturalist.org/photos/433523509/medium.jpeg,casual,https://www.inaturalist.org/observations/243144273
iNaturalist,Nairobi,Kenya,Python sebae,African Rock Python,-1.2614409554,36.8916443094,2024-09-21,zaccues,https://static.inaturalist.org/photos/433521008/medium.jpeg,research,https://www.inaturalist.org/observations/243143051
iNaturalist,Nairobi,Kenya,Bitis gabonica,Gaboon Viper,-1.2746592687,36.814772822,2024-09-21,zaccues,https://static.inaturalist.org/photos/433519897/medium.jpeg,casual,https://www.inaturalist.org/observations/243142356
iNaturalist,Nairobi,Kenya,Lamprophiidae,Lamprophiid Snakes,-0.7729055556,36.4131472222,2024-09-15,raskal,https://inaturalist-open-data.s3.amazonaws.com/photos/433443623/medium.jpeg,needs_id,https://www.inaturalist.org/observations/241832040
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2913209962,36.7887302488,2023-12-24,melodie_kejr,https://static.inaturalist.org/photos/429248772/medium.jpeg,research,https://www.inaturalist.org/observations/240892709
iNaturalist,Nairobi,Kenya,Rhamphiophis rostratus,Eastern Rufous Beaked Snake,-1.2747283333,36.8149416667,2024-07-27,subbi,https://inaturalist-open-data.s3.amazonaws.com/photos/414465521/medium.jpeg,casual,https://www.inaturalist.org/observations/233153172
iNaturalist,Nairobi,Kenya,Crotaphopeltis hotamboeia,Red-lipped Snake,-1.2747333333,36.81493,2024-07-27,subbi,https://inaturalist-open-data.s3.amazonaws.com/photos/414320281/medium.jpeg,casual,https://www.inaturalist.org/observations/233152948
iNaturalist,Nairobi,Kenya,Rhamphiophis rostratus,Eastern Rufous Beaked Snake,-1.33447,36.7580416667,2024-07-27,subbi,https://inaturalist-open-data.s3.amazonaws.com/photos/412316752/medium.jpeg,casual,https://www.inaturalist.org/observations/232106148
iNaturalist,Nairobi,Kenya,Bitis gabonica,Gaboon Viper,-1.274675,36.8147866667,2024-07-27,subbi,https://inaturalist-open-data.s3.amazonaws.com/photos/412316327/medium.jpeg,casual,https://www.inaturalist.org/observations/232105934
iNaturalist,Nairobi,Kenya,Lampropeltis,Kingsnakes and Milk Snakes,-1.2747,36.8147583333,2024-07-27,subbi,https://inaturalist-open-data.s3.amazonaws.com/photos/412315511/medium.jpeg,casual,https://www.inaturalist.org/observations/232105650
